Sub,Category,Dif,Time periods,Question,Answer
,Philosophy,3,1800-1900,Which philosopher wrote the book Thus Spoke Zarathustra: A Book for All and None?,Friedrich Nietzsche.
,Philosophy,4,1900-1950,The Open Society and Its Enemies is a work on political philosophy by which philosopher?,Karl Popper.
,Philosophy,5,1900-1950,The Second Sex is a 1949 book by which French existentialist philosopher?,Simone de Beauvoir.
,Philosophy,5,1960s,The 1962 book The Structural Transformation of the Public Sphere: An Inquiry into a Category of Bourgeois Society was written by which German social theorist?,Jürgen Habermas.
,Philosophy,4,1960s,The 1962 book The Theory of Communicative Action was written by which German social theorist?,Jürgen Habermas.
,Philosophy,2,2000s,Which modern philosopher and podcaster wrote the 2004 book The End of Faith?,Sam Harris.
,Philosophy,5,1800-1900,Which German philosopher wrote the 1844 work The Ego and Its Own?,Max Stimer.
,Philosophy,1,<1500,Which philosopher wrote The Republic?,Plato.
,Miscellaneous,5,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What do the letters in the pedophilia and pederasty advocacy organization in the United States known as NAMBLA stand for?,North American Man/Boy Love AssociationNorth American Man/Boy Love Association.
,Philosophy,5,1500-1800,Which Dutch philosopher wrote most of his major works while in exile in France?,Hugo Grotius. (Or Huig de Groot or Hugo de Groot)
,Philosophy,2,1500-1800,Which English philosopher is best known for his 1651 book Leviathan?,Thomas Hobbes.
,Philosophy,5,1990s,Which American political philosopher received both the Schock Prize for Logic and Philosophy and the National Humanities Medal in 1999?,John Rawls.
,Philosophy,4,1980s,"Which Canadian-American philosopher is best known for his neo-Hobbesian social contract theory of morality, as developed in his 1986 book Morals by Agreement?",David Gauthier.
,Philosophy,5,1990s,Which Irish philosopher and political theorist wrote the 1997 work Republicanism: A Theory of Freedom and Government?,Philip Pettit.
,Philosophy,4,1960s,Which American philosopher is most well known for her work regarding the thought experiment titled the trolley problem?,Judith Jarvis Thomson.
,Philosophy,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the term for an individual who has claimed the right to refuse to perform military service on the grounds of freedom of thought, conscience, or religion?",Conscientious objector.
,Philosophy,3,1970s,"Which Australian moral philosopher wrote the 1975 book Animal Liberation and the essay Famine, Affluence, and Morality?",Peter Singer.
,Philosophy,4,2010s,Which Australian moral philosopher wrote the 2014 book The Point of View of the Universe?,Peter Singer.
,Philosophy,5,1900-1950,In which year was the American Philosophical Association founded?,1900
,Language,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",The informal term 'conchie' is short for what type of person?,Conscientious objector.
,Theater,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the term for the area of a theater where the audience sits?,The auditorium.
,Theater,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In theaters, what is the term for the large curtain that hangs at the back of the stage?",The backdrop.
,Theater,4,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In theaters, what is the term for the platform at the front of the stage where actors enter and exit?",The apron.
,Philosophy,2,<1500,Which well known philosophical work contains the story Allegory of the Cave?,The Republic.
,Movies,2,1990s,"Which movie trilogy features the characters Hans, Goldberg, Conway, and Bombay?",The Mighty Ducks.
,Philosophy,3,"2000s, 2010s, 2020s","In the trans rights world, what does the acronym, coined by Viv Smythe, TERF stand for?",Trans-Exclusionary Radical Feminist.
,Literature,5,1800-1900,Edgar Allan Poe's 1845 poem The Raven was originally published in which New York newspaper?,The New York Evening Mirror.
,Science,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What single word can sum up Newton's first law of motion?,Inertia.
,Politics,5,"1960s, 1970s, 1980s",What was Burkina Faso known as before it was known as Burkina Faso but after it gained independence from France?,Upper Volta.
,Politics,4,1800-1900,Simon Bolivar liberated which country from Spanish colonial rule in 1822?,Ecuador.
,Television,2,"2000s, 2010s",What is Dexter's job on the Showtime television series Dexter?,Bloodstain analyst. (Or blood spatter analyst)
,Television,3,"2000s, 2010s",What is Dexter's last name on the television series Dexter?,Morgan.
,Politics,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What form of government is characterized by a system of government that is centralized and dictatorial and requires complete subservience to the state?,Totalitarianism.
,Philosophy,3,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In ethical philosophy, what is the family of normative ethical theories that prescribe actions that maximize happiness and well-being for all affected individuals?",Utilitarianism.
,Miscellaneous,3,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Name one of two countries whose names would score the fewest points if played in Scrabble with four?,Laos and Iran.
,Science,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which element would yield the lowest score if played in Scrabble with three?,Tin.
,Economics,1,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",How many companies comprise the Dow Jones Industrial Average?,30
,Math,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What is the reciprocal of 2 3/4 as a fraction?,11-Apr
,Philosophy,3,<1500,What is the name of the ancient Greek philosopher who founded the school of skepticism?,Pyrrho. (Or Pyrrhon)
,Philosophy,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which philosophical school of thought is known for its emphasis on the use of reason and observation to understand the natural world?,Empiricism.
,Philosophy,4,<1500,Who was the founder of the Stoic school of philosophy?,Zeno of Citium.
,Philosophy,2,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which philosophical school of thought is associated with the belief that the mind and the body are separate entities?,Dualism.
,Philosophy,3,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which philosophical school of thought is associated with the belief that the ultimate goal of life is to achieve happiness or pleasure?,Hedonism.
,Theology,4,<1500,Which Indian religion traces its spiritual ideas and history through the succession of twenty-four tirthankaras?,Jainism. (Or Jain Dharma)
,Theology,4,"1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which religious school of thought is associated with the belief that the ultimate goal of life is to achieve a state of unity with the universe?,Pantheism.
,Theology,1,"<1500, 1500-1800, 1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Nirvana is a concept in many religions of which country?,India.
,Philosophy,4,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which philosophical principle of logic states that something cannot both be and not be at the same time and in the same respect.,The non-contradiction principle.
,Video Games,2,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Which video game compjany originated in 1940 as Standard Games, a Hawaiian coin-operated game company?",SEGA.
,Miscellaneous,5,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",What are the five stages of grief according to the Kübler-Ross model?,"Denial, anger, bargaining, depression and acceptance."
,Movies,3,2000s,"Mark Wahlberg, Joaquin Phoenix, Eva Mendes, and Robert Duvall starred in which 2007 neo-noir drama movie?",We Own the Night.
,Theater,3,2010s,The 2018 play To Kill a Mockingbird was adapted for the stage by whom?,Aaron Sorkin.
,History,2,2010s,The self-immolation of Tunisian street vendor Mohamed Bouazizi is thought to have triggered which large scale revolution?,The Arab Spring.
,History,3,2010s,In what year did the Deepwater Horizon oil spill occur?,2010
,Politics,5,2010s,Who was the President of Egypt when the Arab Spring began?,Hosni Mubarak.
,Politics,3,2010s,Who was the President of Syria at the start of the Syrian Civil War?,Bashar al-Assad.
,Politics,4,2010s,The 2011 Libyan Civil War led to the overthrow and death of which longtime dictator?,Muammar Gaddafi.
,Politics,4,2010s,The Joint Comprehensive Plan of Action or JCPOA is commonly known by what name?,The Iran Nuclear Deal.
,Politics,3,2010s,In which year was the Brexit referendum held?,2016
,Politics,4,2010s,In what year did the United States recognize Jerusalem as the capital of Israel?,2017
,Politics,3,2010s,In what year did the United States and North Korea hold their first summit?,2018
,Politics,1,2010s,Who was the Prime Minister of the United Kingdom when the United Kingdom officially left the European Union?,Boris Johnson.
,Science,1,"2010s, 2020s",What is COVID-19 short for?,COronaVIrus Disease 2019.
,History,3,2020s,Which country was the first to implement a national lockdown due to COVID-19?,Italy.
,Politics,3,2020s,"In 2020, the controversial Citizenship Amendment Act, which critics said discriminated against Muslims, was passed by which country's government?",India.
,Politics,3,2020s,The arrest and imprisonment of which opposition leader caused widespread protests in Russia in 2021?,Alexei Navalny.
,Theater,1,2010s,Which Trey Parker and Matt Stone musical won the Tony Award for Best Musical in 2011?,The Book of Mormon.
,Theater,4,2010s,Which musical based on a novel by Harvey Fierstein won the Tony Award for Best Musical in 2013?,Kinky Boots.
,Sports,4,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","Invented by John McLendon, what is the basketball term for a defensive style in which the defense applies pressure to the offensive team the entire length of the court before and after the inbound pass?",Full court press.
,Theater,5,2010s,Which Stephen Karam play that won the Tony Award for Best Play in 2016?,The Humans.
,Theater,4,2010s,Which Anaïs Mitchell musical won the Tony Award for Best Musical in 2019?,Hadestown.
,Theater,3,2010s,Which musical based on a cartoon had a record-breaking fourteen Tony nominations in 2018?,SpongeBob SquarePants: The Musical.
,Economics,4,"1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",In which country is The Lego Group headquartered?,Denmark.
,Theater,4,2010s,Saoirse Ronan and Ben Whishaw starred in the Broadway production of which play in 2016?,The Crucible.
,Theater,4,2010s,Daniel Craig and Rachel Weisz starred in the Broadway revival of which Harold Pinter play in 2013?,Betrayal.
,Theater,3,2010s,Bradley Cooper starred in which Broadway production in 2014?,The Elephant Man.
,Theater,5,2010s,Sally Field and Joe Mantello starred in which Broadway production in 2017?,The Glass Menagerie.
,Art,3,"1990s, 2000s, 2010s, 2020s",Autostereograms are commonly known by what name?,Magic Eye pictures.
,Theater,2,2010s,Zachary Quinto and Jim Parsons starred in which Broadway production in 2018?,The Boys in the Band.
,Theater,4,2010s,"Kyle Soller, Andrew Burnap, and Samuel Levine starred in which 2019 Broadway procution?",The Inheritance.
,Sports,1,1990s,"In 1999, which skateboarder made history by landing the first 900?",Tony Hawk.
,Language,5,"1800-1900, 1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","In English-language punctuation, the serial comma or series comma is also known by which two university names?",The Oxford comma and the Harvard comma.
,Economics,4,"1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s","What is the term for an agreement between a company and an employee who is usually an upper executive, specifying that the employee will receive certain significant benefits if employment is terminated?",A golden parachute.
,Politics,3,"2000s, 2010s, 2020s","Barack Obama, Theodore Roosevelt, Woodrow Wilson and Jimmy Carter are the only four US Presidents to have won what?",A Nobel Prize.
,Technology,5,"2000s, 2010s, 2020s",Yandex is a search engine headquartered n which country?,Russia.
Virology,Science,2,"1980s, 1990s, 2000s, 2010s, 2020s","In the viral world, what does HPV stand for?",Human PapillomaVirus.
Characters,Theater,4,1500-1800,"Which Shakespeare play features the characters Prospero, Caliban, Ariel, and Miranda?",The Tempest.
Reality TV,Television,1,2000s,"Which American television series, broadcasted from 2004 to 2007, was hosted by rapper Xzibit?",Pimp My Ride.
Aliases,Pop culture,5,"1990s, 2000s, 2010s, 2020s",American rapper and actor Alvin Nathaniel Joiner is more commonly known by what stage name?,Xzibit.
Aliases,Pop culture,3,"1990s, 2000s, 2010s, 2020s",American rapper and R&B artists Nathaniel Dwayne Hale was more commonly known by what stage name?,Nate Dogg.
Characters,Video Games,2,2010s,"Which video game franchise feaures Frank West in the first installment, Chuck Greene in the second installment, and Nick Ramos in the third installment?",Dead Rising.
Pseudoscience,Pop culture,3,"1900-1950, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s",Which Japanese form of pseudoscientific energy healing alternative medicine employs a technique called palm healing or hands-on healing through which a 'universal energy' is said to be transferred?,Reiki.
